origin_loc_id,origin_borough,origin_zone_name,dest_loc_id,destination_borough,destination_zone_name,trip_count,percentage_of_origin_trips,average_distance_miles,average_duration_minutes,average_total_charge,origin_flow_rank,overall_flow_rank
141,Manhattan,Lenox Hill West,140,Manhattan,Lenox Hill East,3641,4.5,0.699,6.743,14.15,6,156
239,Manhattan,Upper West Side South,163,Manhattan,Midtown North,3636,3.76,1.567,11.202,19.81,7,157
142,Manhattan,Lincoln Square East,141,Manhattan,Lenox Hill West,3610,3.0,1.698,12.9,20.59,10,159
186,Manhattan,Penn Station/Madison Sq West,162,Manhattan,Midtown East,3587,3.02,1.557,17.113,23.81,8,160
140,Manhattan,Lenox Hill East,141,Manhattan,Lenox Hill West,3586,5.01,0.675,6.31,14.19,6,161
230,Manhattan,Times Sq/Theatre District,162,Manhattan,Midtown East,3582,2.96,0.95,10.737,18.6,10,162
234,Manhattan,Union Sq,230,Manhattan,Times Sq/Theatre District,3582,3.4,1.565,15.529,22.63,7,162
170,Manhattan,Murray Hill,186,Manhattan,Penn Station/Madison Sq West,3575,3.46,0.982,11.668,19.35,6,164
170,Manhattan,Murray Hill,229,Manhattan,Sutton Place/Turtle Bay North,3555,3.44,1.139,9.025,17.67,7,165
162,Manhattan,Midtown East,186,Manhattan,Penn Station/Madison Sq West,3552,2.97,1.433,16.672,22.7,10,166
163,Manhattan,Midtown North,162,Manhattan,Midtown East,3552,3.39,0.895,10.187,17.98,7,166
48,Manhattan,Clinton East,239,Manhattan,Upper West Side South,3544,3.9,1.738,11.493,19.95,5,168
68,Manhattan,East Chelsea,161,Manhattan,Midtown Center,3544,3.62,1.788,19.074,25.78,6,168
164,Manhattan,Midtown South,234,Manhattan,Union Sq,3544,4.21,0.777,5.934,15.23,4,168
234,Manhattan,Union Sq,246,Manhattan,West Chelsea/Hudson Yards,3535,3.36,1.455,12.921,20.6,8,172
238,Manhattan,Upper West Side North,237,Manhattan,Upper East Side South,3533,5.08,2.056,15.02,22.33,4,173
229,Manhattan,Sutton Place/Turtle Bay North,141,Manhattan,Lenox Hill West,3530,5.71,0.95,7.542,16.38,2,174
229,Manhattan,Sutton Place/Turtle Bay North,140,Manhattan,Lenox Hill East,3527,5.71,0.964,8.765,17.09,3,175
107,Manhattan,Gramercy,79,Manhattan,East Village,3513,4.68,0.945,7.839,16.16,2,178
43,Manhattan,Central Park,142,Manhattan,Lincoln Square East,3489,6.37,1.288,10.429,17.96,4,180
263,Manhattan,Yorkville West,75,Manhattan,East Harlem South,3475,5.09,1.02,7.089,14.54,5,182
170,Manhattan,Murray Hill,79,Manhattan,East Village,3458,3.34,1.789,11.704,20.59,8,184
186,Manhattan,Penn Station/Madison Sq West,246,Manhattan,West Chelsea/Hudson Yards,3454,2.9,1.034,9.579,17.77,9,186
100,Manhattan,Garment District,230,Manhattan,Times Sq/Theatre District,3453,6.41,0.771,9.96,17.62,2,187
229,Manhattan,Sutton Place/Turtle Bay North,236,Manhattan,Upper East Side North,3434,5.56,1.89,14.978,22.7,4,188
90,Manhattan,Flatiron,68,Manhattan,East Chelsea,3431,5.63,0.801,6.722,15.72,1,190
90,Manhattan,Flatiron,249,Manhattan,West Village,3419,5.61,0.813,5.999,15.05,2,191
186,Manhattan,Penn Station/Madison Sq West,79,Manhattan,East Village,3414,2.87,2.182,17.202,24.59,10,192
141,Manhattan,Lenox Hill West,262,Manhattan,Yorkville East,3413,4.22,1.066,7.506,15.46,7,193
140,Manhattan,Lenox Hill East,229,Manhattan,Sutton Place/Turtle Bay North,3403,4.75,1.124,9.076,17.47,7,195
141,Manhattan,Lenox Hill West,161,Manhattan,Midtown Center,3378,4.18,1.461,14.112,21.06,8,196
246,Manhattan,West Chelsea/Hudson Yards,230,Manhattan,Times Sq/Theatre District,3378,5.01,1.471,14.751,21.83,2,196
151,Manhattan,Manhattan Valley,239,Manhattan,Upper West Side South,3376,11.27,1.184,7.338,15.91,1,198
138,Queens,LaGuardia Airport,163,Manhattan,Midtown North,3366,2.89,9.922,43.652,78.68,5,201
170,Manhattan,Murray Hill,230,Manhattan,Times Sq/Theatre District,3339,3.23,1.072,13.866,20.99,9,204
107,Manhattan,Gramercy,162,Manhattan,Midtown East,3299,4.39,1.484,10.966,19.24,3,205
249,Manhattan,West Village,90,Manhattan,Flatiron,3257,3.79,0.907,6.993,15.52,5,206
79,Manhattan,East Village,234,Manhattan,Union Sq,3255,3.39,1.287,10.029,18.44,5,207
90,Manhattan,Flatiron,246,Manhattan,West Chelsea/Hudson Yards,3250,5.33,1.112,9.529,17.79,3,208
238,Manhattan,Upper West Side North,151,Manhattan,Manhattan Valley,3231,4.65,0.762,6.353,13.18,5,210
238,Manhattan,Upper West Side North,143,Manhattan,Lincoln Square West,3230,4.65,1.403,9.197,17.47,6,211
143,Manhattan,Lincoln Square West,238,Manhattan,Upper West Side North,3225,7.23,1.398,8.606,16.85,2,212
132,Queens,JFK Airport,170,Manhattan,Murray Hill,3208,1.96,16.75,51.143,96.66,6,213
239,Manhattan,Upper West Side South,161,Manhattan,Midtown Center,3205,3.31,2.204,16.86,24.34,8,214
239,Manhattan,Upper West Side South,48,Manhattan,Clinton East,3194,3.3,1.723,13.132,20.99,9,215
249,Manhattan,West Village,170,Manhattan,Murray Hill,3177,3.69,2.109,15.504,23.54,6,216
238,Manhattan,Upper West Side North,166,Manhattan,Morningside Heights,3176,4.57,1.356,7.51,15.48,7,217
43,Manhattan,Central Park,239,Manhattan,Upper West Side South,3174,5.8,1.315,9.552,17.51,5,218
170,Manhattan,Murray Hill,236,Manhattan,Upper East Side North,3174,3.07,2.523,18.944,27.33,10,218
68,Manhattan,East Chelsea,170,Manhattan,Murray Hill,3160,3.23,1.555,16.79,23.23,7,220
229,Manhattan,Sutton Place/Turtle Bay North,161,Manhattan,Midtown Center,3152,5.1,0.868,11.948,19.09,5,222
48,Manhattan,Clinton East,143,Manhattan,Lincoln Square West,3123,3.44,1.2,7.494,17.18,6,223
249,Manhattan,West Village,246,Manhattan,West Chelsea/Hudson Yards,3101,3.6,1.682,11.912,20.03,7,226
148,Manhattan,Lower East Side,79,Manhattan,East Village,3098,6.35,0.855,6.617,15.88,1,227
48,Manhattan,Clinton East,230,Manhattan,Times Sq/Theatre District,3095,3.41,0.686,8.106,16.33,7,228
79,Manhattan,East Village,137,Manhattan,Kips Bay,3074,3.2,1.283,7.768,16.78,6,230
239,Manhattan,Upper West Side South,230,Manhattan,Times Sq/Theatre District,3065,3.17,1.824,14.616,22.13,10,231
132,Queens,JFK Airport,162,Manhattan,Midtown East,3063,1.87,17.06,54.856,96.62,7,232
234,Manhattan,Union Sq,164,Manhattan,Midtown South,3063,2.91,0.838,8.19,16.76,9,232
114,Manhattan,Greenwich Village South,79,Manhattan,East Village,3030,5.22,0.934,8.173,16.47,1,235
234,Manhattan,Union Sq,237,Manhattan,Upper East Side South,3014,2.86,2.408,21.373,27.72,10,236
151,Manhattan,Manhattan Valley,238,Manhattan,Upper West Side North,3005,10.03,0.72,5.16,13.22,2,238
229,Manhattan,Sutton Place/Turtle Bay North,162,Manhattan,Midtown East,3000,4.85,0.711,8.934,16.55,6,239
163,Manhattan,Midtown North,170,Manhattan,Murray Hill,2969,2.83,1.391,13.819,21.42,8,244
